MyUnknownColumn,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
184,Bajaj Pulsar 150,2008,25000.0,75000.0,26000,Petrol,Individual,Manual,1
132,Bajaj Avenger 220,2017,75000.0,95000.0,3500,Petrol,Individual,Manual,0
194,Hero  CBZ Xtreme,2008,20000.0,78700.0,50000,Petrol,Individual,Manual,0
75,etios g,2015,395000.0,680000.0,36000,Petrol,Dealer,Manual,0
111,Royal Enfield Thunder 350,2016,114999.99999999999,150000.0,8700,Petrol,Individual,Manual,0
59,fortuner,2014,1998999.9999999998,3596000.0,41000,Diesel,Dealer,Automatic,0
93,fortuner,2015,2300000.0,3061000.0,40000,Diesel,Dealer,Automatic,0
6,ciaz,2015,675000.0,811999.9999999999,18796,Petrol,Dealer,Manual,0
175,Hero Honda CBZ extreme,2011,38000.0,78700.0,75000,Petrol,Individual,Manual,0
30,ritz,2012,310000.0,598000.0,51439,Diesel,Dealer,Manual,0
22,sx4,2011,440000.00000000006,801000.0,50000,Petrol,Dealer,Automatic,0
286,jazz,2016,565000.0,790000.0,28569,Petrol,Dealer,Manual,0
56,etios cross,2015,450000.0,727000.0,40534,Petrol,Dealer,Manual,0
239,eon,2012,200000.0,443000.0,23709,Petrol,Dealer,Manual,0
113,Mahindra Mojo XT300,2016,114999.99999999999,140000.0,35000,Petrol,Individual,Manual,0
129,Yamaha FZ S V 2.0,2017,78000.0,84000.0,5000,Petrol,Individual,Manual,0
232,elantra,2015,1145000.0,1479000.0,12900,Petrol,Dealer,Automatic,0
195,Bajaj  ct 100,2015,18000.0,32000.0,35000,Petrol,Individual,Manual,0
277,city,2015,969999.9999999999,1360000.0,21780,Petrol,Dealer,Manual,0
280,brio,2015,525000.0,590000.0,14465,Petrol,Dealer,Manual,0
213,i20,2011,290000.0,679000.0,31604,Petrol,Dealer,Manual,0
84,innova,2005,349000.0,1346000.0,197176,Diesel,Dealer,Manual,0
66,innova,2017,1975000.0,2315000.0,11000,Petrol,Dealer,Automatic,0
203,i10,2011,295000.0,459999.99999999994,53460,Petrol,Dealer,Manual,0
165,Activa 3g,2016,45000.0,54000.0,500,Petrol,Individual,Automatic,0
119,Royal Enfield Thunder 500,2013,105000.0,190000.0,5400,Petrol,Individual,Manual,0
19,sx4,2010,265000.0,798000.0,41442,Petrol,Dealer,Manual,0
181,Hero Splender Plus,2016,30000.0,48000.0,50000,Petrol,Individual,Manual,0
79,fortuner,2012,1450000.0,3061000.0,89000,Diesel,Dealer,Automatic,0
114,Royal Enfield Classic 350,2015,114999.99999999999,147000.0,17000,Petrol,Individual,Manual,0
185,Suzuki Access 125,2008,25000.0,57999.99999999999,1900,Petrol,Individual,Automatic,0
72,corolla altis,2013,745000.0,1861000.0,56001,Petrol,Dealer,Manual,0
15,ertiga,2016,775000.0,1079000.0,43000,Diesel,Dealer,Manual,0
10,alto 800,2017,285000.0,360000.0,2135,Petrol,Dealer,Manual,0
196,Activa 3g,2008,17000.0,52000.0,500000,Petrol,Individual,Automatic,0
298,city,2009,335000.0,1100000.0,87934,Petrol,Dealer,Manual,0
68,corolla altis,2011,434999.99999999994,1374000.0,88000,Petrol,Dealer,Manual,0
226,grand i10,2015,525000.0,570000.0,24678,Petrol,Dealer,Manual,0
37,800,2003,35000.0,227999.99999999997,127000,Petrol,Individual,Manual,0
16,ertiga,2015,725000.0,1079000.0,41678,Diesel,Dealer,Manual,0
125,Royal Enfield Classic 500,2009,90000.0,175000.0,40000,Petrol,Individual,Manual,0
287,amaze,2015,575000.0,750000.0,44000,Petrol,Dealer,Automatic,0
271,city,2009,300000.0,1000000.0,69562,Petrol,Dealer,Manual,0
67,fortuner,2010,925000.0,2045000.0,59000,Diesel,Dealer,Manual,0
225,i10,2011,270000.0,459999.99999999994,22517,Petrol,Dealer,Manual,0
69,corolla altis,2016,1425000.0,2091000.0,12000,Petrol,Dealer,Manual,0
31,ritz,2011,235000.0,488999.99999999994,54200,Petrol,Dealer,Manual,0
176,Honda Karizma,2011,35000.0,105000.0,30000,Petrol,Individual,Manual,0
152,Bajaj Pulsar NS 200,2012,50000.0,99000.0,13000,Petrol,Individual,Manual,0
263,jazz,2016,660000.0,770000.0,16002,Petrol,Dealer,Manual,0
143,Yamaha FZ  v 2.0,2016,60000.0,84000.0,25000,Petrol,Individual,Manual,0
18,wagon r,2015,325000.0,509000.0,35500,CNG,Dealer,Manual,0
183,Bajaj Discover 100,2013,27000.0,47000.0,21000,Petrol,Individual,Manual,0
96,innova,2016,2075000.0,2539000.0,29000,Diesel,Dealer,Automatic,0
236,eon,2016,310000.0,443000.0,11849,Petrol,Dealer,Manual,0
148,Bajaj Pulsar 220 F,2010,52000.0,94000.0,45000,Petrol,Individual,Manual,0
86,land cruiser,2010,3500000.0,9260000.0,78000,Diesel,Dealer,Manual,0
250,creta,2016,1290000.0,1360000.0,35934,Diesel,Dealer,Manual,0
147,Yamaha FZ S V 2.0,2015,55000.00000000001,84000.0,58000,Petrol,Individual,Manual,0
293,city,2010,325000.0,990000.0,38000,Petrol,Dealer,Manual,0
256,city,2016,1025000.0,1360000.0,49562,Petrol,Dealer,Manual,0
126,Bajaj Avenger 220,2017,90000.0,95000.0,1300,Petrol,Individual,Manual,0
139,Bajaj Avenger 220 dtsi,2015,60000.0,95000.0,16600,Petrol,Individual,Manual,0
208,i20,2017,790000.0,810000.0,3435,Petrol,Dealer,Manual,0
55,corolla altis,2009,360000.0,1504000.0,70000,Petrol,Dealer,Automatic,0
146,Hero Extreme,2014,55000.00000000001,78700.0,15000,Petrol,Individual,Manual,0
186,TVS Wego,2010,25000.0,52000.0,22000,Petrol,Individual,Automatic,0
249,i20,2016,525000.0,760000.0,17000,Petrol,Dealer,Manual,0
38,alto k10,2016,300000.0,376000.0,10079,Petrol,Dealer,Manual,0
197,Honda CB twister,2010,16000.0,51000.0,33000,Petrol,Individual,Manual,0
233,grand i10,2013,390000.0,570000.0,53000,Diesel,Dealer,Manual,0
209,grand i10,2015,484999.99999999994,570000.0,21125,Diesel,Dealer,Manual,0
112,KTM 390 Duke ,2014,114999.99999999999,240000.0,7000,Petrol,Individual,Manual,0
170,Yamaha FZ S ,2012,40000.0,83000.0,5500,Petrol,Individual,Manual,0
117,Royal Enfield Thunder 500,2015,110000.00000000001,190000.0,14000,Petrol,Individual,Manual,0
278,jazz,2016,600000.0,840000.0,4000,Petrol,Dealer,Manual,0
272,city,2015,750000.0,1000000.0,27600,Petrol,Dealer,Manual,0
157,Yamaha FZ S V 2.0,2015,48000.0,84000.0,23000,Petrol,Individual,Manual,0
178,TVS Jupyter,2014,35000.0,52000.0,19000,Petrol,Individual,Automatic,0
180,Hero Honda Passion Pro,2012,30000.0,51000.0,60000,Petrol,Individual,Manual,0
2,ciaz,2017,725000.0,985000.0,6900,Petrol,Dealer,Manual,0
115,Royal Enfield Classic 350,2015,111000.00000000001,147000.0,17500,Petrol,Individual,Manual,0
